"","country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region","dollars_per_day","group"
"20","Bolivia",1960,173.4,43.77,6.7,3693451,3001815692,"Americas","South America",2.22668517351981,"developing"
"21","Bosnia and Herzegovina",1960,105,62.56,4.05,3214520,NA,"Europe","Southern Europe",NA,"west"
"22","Botswana",1960,115.5,50.34,6.62,524029,124460933,"Africa","Southern Africa",0.650706082171495,"developing"
"23","Brazil",1960,129.4,55.27,6.21,72493585,105343379555,"Americas","South America",3.98120742381304,"developing"
"24","Brunei",1960,63,62.52,6.49,81825,NA,"Asia","South-Eastern Asia",NA,"developing"
"25","Bulgaria",1960,49,69.22,2.25,7866472,NA,"Europe","Eastern Europe",NA,"developing"
"26","Burkina Faso",1960,161.3,35.21,6.29,4829291,596612183,"Africa","Western Africa",0.338466645730687,"developing"
"27","Burundi",1960,145.1,40.58,6.95,2786740,341126765,"Africa","Eastern Africa",0.335371752195156,"developing"
"28","Cambodia",1960,NA,42.29,6.97,5722370,NA,"Asia","South-Eastern Asia",NA,"developing"
"29","Cameroon",1960,166.9,43.46,5.65,5361367,2537944080,"Africa","Middle Africa",1.29692137323462,"developing"
"30","Canada",1960,27.8,71,3.91,17909232,167894860728,"Americas","Northern America",25.6842906386348,"west"
"31","Cape Verde",1960,NA,50.12,6.89,202316,NA,"Africa","Western Africa",NA,"developing"
"32","Central African Republic",1960,165.5,37.43,5.84,1503501,534982718,"Africa","Middle Africa",0.974862056435166,"developing"
"33","Chad",1960,NA,40.95,6.25,3002596,750173439,"Africa","Middle Africa",0.684497580057527,"developing"
"34","Chile",1960,127.6,56.85,5.58,7695692,14087170195,"Americas","South America",5.015141826832,"developing"
"35","China",1960,190,30.53,3.99,644450173,70348527260,"Asia","Eastern Asia",0.29906996568265,"developing"
"36","Colombia",1960,89.3,58.03,6.81,16480384,19017657851,"Americas","South America",3.16152658788294,"developing"
"37","Comoros",1960,200,44.04,6.79,188732,NA,"Africa","Eastern Africa",NA,"developing"
"38","Congo, Dem. Rep.",1960,174,43.9,6,15248246,4992962083,"Africa","Middle Africa",0.89710961986072,"developing"
"39","Congo, Rep.",1960,110.6,48.25,5.88,1013581,626127041,"Africa","Middle Africa",1.69243163662789,"developing"
"40","Costa Rica",1960,86.54,61.97,7.31,1333042,2398494445,"Americas","Central America",4.92949033678927,"developing"
"41","Cote d'Ivoire",1960,208.4,38,7.35,3474724,2003623491,"Africa","Western Africa",1.57980300806546,"developing"
"42","Croatia",1960,70,64.85,2.33,4192634,NA,"Europe","Southern Europe",NA,"west"
"43","Cuba",1960,37,63.85,4.18,7141129,NA,"Americas","Caribbean",NA,"developing"
"44","Cyprus",1960,30,69.72,3.5,572929,NA,"Asia","Western Asia",NA,"developing"
"45","Czech Republic",1960,22,70.58,2.3,9578587,NA,"Europe","Eastern Europe",NA,"developing"
"46","Denmark",1960,21.3,72.28,2.54,4580708,52164745342,"Europe","Northern Europe",31.1997862614311,"west"
"47","Djibouti",1960,NA,45.77,6.46,83636,NA,"Africa","Eastern Africa",NA,"developing"
"48","Dominican Republic",1960,102.1,53.37,7.56,3294039,3019307866,"Americas","Caribbean",2.51122598888643,"developing"
"49","Ecuador",1960,121.4,54.09,6.69,4545548,3641530019,"Americas","South America",2.19484967986318,"developing"
"50","Egypt",1960,209.6,48.31,6.63,27072397,12008501551,"Africa","Northern Africa",1.21526011344009,"developing"
"51","El Salvador",1960,126.2,52.02,6.73,2762897,4017741905,"Americas","Central America",3.9840472042545,"developing"
"52","Equatorial Guinea",1960,NA,37.69,5.51,252115,NA,"Africa","Middle Africa",NA,"developing"
"53","Eritrea",1960,NA,39.03,6.9,1407631,NA,"Africa","Eastern Africa",NA,"developing"
"54","Estonia",1960,40,69.42,1.95,1216831,NA,"Europe","Northern Europe",NA,"west"
"55","Ethiopia",1960,162,37.72,6.88,22151218,NA,"Africa","Eastern Africa",NA,"developing"
"56","Fiji",1960,54,55.7,6.46,393383,437079701,"Oceania","Melanesia",3.04405282606699,"developing"
"57","Finland",1960,21.9,69.03,2.71,4430228,32363088296,"Europe","Northern Europe",20.0138673069438,"west"
"58","France",1960,23.7,70.49,2.77,45865699,349778187326,"Europe","Western Europe",20.8935309943249,"west"
"59","French Polynesia",1960,NA,56.28,5.66,78083,NA,"Oceania","Polynesia",NA,"developing"
"60","Gabon",1960,NA,38.83,4.38,499189,887289809,"Africa","Middle Africa",4.86976071900952,"developing"
"61","Gambia",1960,148.4,35.7,5.57,367929,NA,"Africa","Western Africa",NA,"developing"
"62","Georgia",1960,NA,63.5,2.96,4159769,NA,"Asia","Western Asia",NA,"developing"
"63","Germany",1960,34,69.26,2.41,73179665,NA,"Europe","Western Europe",NA,"west"
"64","Ghana",1960,125.1,46.34,6.75,6652285,1902005320,"Africa","Western Africa",0.783335873230334,"developing"
"65","Greece",1960,48.3,68.41,2.22,8311386,28208389534,"Europe","Southern Europe",9.29848030127108,"west"
"66","Greenland",1960,NA,61.49,7.25,31238,NA,"Americas","Northern America",NA,"west"
"67","Grenada",1960,NA,60.59,6.74,89861,NA,"Americas","Caribbean",NA,"developing"
"68","Guatemala",1960,146,46.51,6.53,4127555,3989089865,"Americas","Central America",2.6478177344135,"developing"
"69","Guinea",1960,NA,35.71,6.1,3577413,NA,"Africa","Western Africa",NA,"developing"
"70","Guinea-Bissau",1960,NA,43.14,5.83,616407,NA,"Africa","Western Africa",NA,"developing"
"71","Guyana",1960,67.7,59.08,5.67,564222,385886207,"Americas","South America",1.87377040408121,"developing"
"72","Haiti",1960,194.8,42.1,6.32,3866160,NA,"Americas","Caribbean",NA,"developing"
"73","Honduras",1960,140.9,47.71,7.46,2002333,1502038539,"Americas","Central America",2.05518966098649,"developing"
"74","Hong Kong, China",1960,NA,67.45,5.16,3075752,NA,"Asia","Eastern Asia",NA,"developing"
"75","Hungary",1960,53.4,68.13,2.05,10001270,10486859064,"Europe","Eastern Europe",2.87274723343012,"developing"
"76","Iceland",1960,17.5,74.22,4.13,175520,1775037087,"Europe","Northern Europe",27.7069012468626,"west"
"77","India",1960,165.1,41.26,5.87,449661874,81042654922,"Asia","Southern Asia",0.493781402999664,"developing"
"78","Indonesia",1960,148.4,45.01,5.67,87792512,18448917543,"Asia","South-Eastern Asia",0.57573223978217,"developing"
"79","Iran",1960,191.61,46,6.93,21906905,NA,"Asia","Southern Asia",NA,"developing"
"80","Iraq",1960,131.7,46.96,6.25,7289759,NA,"Asia","Western Asia",NA,"developing"
"81","Ireland",1960,30.4,70.76,3.86,2819059,NA,"Europe","Northern Europe",NA,"west"
"82","Israel",1960,32,68.55,3.84,2089891,12313161088,"Asia","Western Asia",16.1418408483164,"developing"
"83","Italy",1960,44.2,69.19,2.37,49714962,293540646267,"Europe","Southern Europe",16.1766381049776,"west"
"84","Jamaica",1960,62,65.91,5.42,1630914,NA,"Americas","Caribbean",NA,"developing"
"85","Japan",1960,30.4,67.78,2,92500754,719165142029,"Asia","Eastern Asia",21.300534021741,"developing"
"86","Jordan",1960,107.5,53.3,7.69,888632,NA,"Asia","Western Asia",NA,"developing"
"87","Kazakhstan",1960,NA,58.91,4.56,9995997,NA,"Asia","Central Asia",NA,"developing"
"88","Kenya",1960,118.6,47.42,7.95,8105440,2116484537,"Africa","Eastern Africa",0.715394571127877,"developing"
"89","Kiribati",1960,NA,45.84,6.95,41234,NA,"Oceania","Micronesia",NA,"developing"
"90","South Korea",1960,80.2,53.02,6.16,25074028,28928298962,"Asia","Eastern Asia",3.16086484367492,"developing"
"91","Kuwait",1960,101.6,62.15,7.25,261962,NA,"Asia","Western Asia",NA,"developing"
"92","Kyrgyz Republic",1960,NA,56.09,5.17,2172500,NA,"Asia","Central Asia",NA,"developing"
"93","Lao",1960,155,42.13,5.96,2119944,NA,"Asia","South-Eastern Asia",NA,"developing"
"94","Latvia",1960,35,70.37,1.9,2132368,NA,"Europe","Northern Europe",NA,"west"
"95","Lebanon",1960,57.6,62.9,5.74,1804927,NA,"Asia","Western Asia",NA,"developing"
"96","Lesotho",1960,143.3,47.02,5.84,851412,112602724,"Africa","Southern Africa",0.362339987806879,"developing"
"97","Liberia",1960,212,35.24,6.41,1120314,678395865,"Africa","Western Africa",1.65901596179212,"developing"
"98","Libya",1960,164.5,44.59,7.54,1434576,NA,"Africa","Northern Africa",NA,"developing"
"99","Lithuania",1960,52,70.33,2.55,2770737,NA,"Europe","Northern Europe",NA,"west"
"100","Luxembourg",1960,33,68.99,2.35,314586,4302303281,"Europe","Western Europe",37.4687121382144,"west"
"101","Macao, China",1960,NA,64.93,4.95,171456,NA,"Asia","Eastern Asia",NA,"developing"
"102","Macedonia, FYR",1960,120,60.85,3.72,1488664,NA,"Europe","Southern Europe",NA,"west"
"103","Madagascar",1960,112,41.96,7.3,5099371,2087989940,"Africa","Eastern Africa",1.12180901988925,"developing"
"104","Malawi",1960,218.2,38.51,6.91,3618604,347712093,"Africa","Eastern Africa",0.263260603048269,"developing"
"105","Malaysia",1960,67.4,59.89,6.19,8160975,6631037036,"Asia","South-Eastern Asia",2.22610959550353,"developing"
"106","Maldives",1960,NA,38.07,7.02,89875,NA,"Asia","Southern Asia",NA,"developing"
"107","Mali",1960,237.4,29.61,6.7,5263730,NA,"Africa","Western Africa",NA,"developing"
"108","Malta",1960,36.4,68.32,3.53,312788,NA,"Europe","Southern Europe",NA,"west"
"109","Mauritania",1960,135,43.91,6.78,858170,319353267,"Africa","Western Africa",1.01954211582116,"developing"
"110","Mauritius",1960,67.8,58.74,6.17,660023,NA,"Africa","Eastern Africa",NA,"developing"
"111","Mexico",1960,100.6,57.34,6.78,38174114,94354817785,"Americas","Central America",6.77177078938598,"developing"
"112","Micronesia, Fed. Sts.",1960,NA,56.82,6.93,44539,NA,"Oceania","Micronesia",NA,"developing"
"113","Moldova",1960,NA,62.22,3.33,3003557,NA,"Europe","Eastern Europe",NA,"developing"
"114","Mongolia",1960,NA,49.2,6.95,955514,NA,"Asia","Eastern Asia",NA,"developing"
"115","Montenegro",1960,NA,63.86,3.52,487416,NA,"Europe","Southern Europe",NA,"west"
"116","Morocco",1960,145,49.64,7.07,12328534,7532416437,"Africa","Northern Africa",1.67390197095971,"developing"
"117","Mozambique",1960,183,38.17,6.6,7493278,NA,"Africa","Eastern Africa",NA,"developing"
"118","Namibia",1960,102,47.07,6.15,602545,NA,"Africa","Southern Africa",NA,"developing"
"119","Nepal",1960,219.6,39.8,5.99,10056945,1354713257,"Asia","Southern Asia",0.369052746123501,"developing"
"120","Netherlands",1960,16.4,73.35,3.12,11418652,98359287391,"Europe","Western Europe",23.5997646395888,"west"
"121","New Caledonia",1960,NA,56.38,5.22,78058,NA,"Oceania","Melanesia",NA,"developing"
"122","New Zealand",1960,22.6,71.28,3.54,2371999,NA,"Oceania","Australia and New Zealand",NA,"west"
"123","Nicaragua",1960,134,50.69,7.34,1774696,2103502588,"Americas","Central America",3.24732843768234,"developing"
"124","Niger",1960,NA,36.82,7.05,3395212,1020197091,"Africa","Western Africa",0.823235934394574,"developing"
"125","Nigeria",1960,165,40.39,6.35,45211614,12836410903,"Africa","Western Africa",0.77785873889207,"developing"
"126","Norway",1960,18.4,73.66,2.88,3582016,38302651835,"Europe","Northern Europe",29.296008770113,"west"
"127","Oman",1960,164,44.64,7.25,551737,538829577,"Asia","Western Asia",2.67563244161323,"developing"
"128","Pakistan",1960,192,46.79,6.6,44911810,8608436616,"Asia","Southern Asia",0.525134877709333,"developing"
"129","Panama",1960,66.9,61.62,5.87,1132924,1930103379,"Americas","Central America",4.66752797452759,"developing"
"130","Papua New Guinea",1960,134.6,38.6,6.28,1966957,837055577,"Oceania","Melanesia",1.16591412556804,"developing"
"131","Paraguay",1960,62.6,66.35,6.5,1902871,1263290494,"Americas","South America",1.81886730449691,"developing"
"132","Peru",1960,135.9,48.95,6.88,10061519,16356280982,"Americas","South America",4.4537737013475,"developing"
"133","Philippines",1960,67.9,58.82,7.15,26273023,17990832237,"Asia","South-Eastern Asia",1.87606699595424,"developing"
"134","Poland",1960,57.8,67.92,2.97,29716363,NA,"Europe","Eastern Europe",NA,"developing"
"135","Portugal",1960,84.6,64.23,3.16,8875311,20981025078,"Europe","Southern Europe",6.47664746482362,"west"
"136","Puerto Rico",1960,NA,68.58,4.66,2355570,8883563977,"Americas","Caribbean",10.3323320656298,"developing"
"137","Qatar",1960,94,60.82,6.97,47309,NA,"Asia","Western Asia",NA,"developing"
"138","Romania",1960,69,65.92,2.32,18613835,NA,"Europe","Eastern Europe",NA,"developing"
"139","Russia",1960,NA,68.61,2.56,119860289,NA,"Europe","Eastern Europe",NA,"developing"
"140","Rwanda",1960,127.9,43.07,8.19,2933424,623378345,"Africa","Eastern Africa",0.582215825844586,"developing"
"141","St. Lucia",1960,NA,56.97,6.97,89901,NA,"Americas","Caribbean",NA,"developing"
"142","St. Vincent and the Grenadines",1960,NA,57.85,7.22,80948,107215633,"Americas","Caribbean",3.62876736020621,"developing"
"143","Samoa",1960,92,51.45,7.65,108645,NA,"Oceania","Polynesia",NA,"developing"
"144","Saudi Arabia",1960,150,47.62,7.22,4086539,NA,"Asia","Western Asia",NA,"developing"
"145","Senegal",1960,126.3,38.46,6.95,3177560,1870217818,"Africa","Western Africa",1.6125216936507,"developing"
"146","Serbia",1960,NA,63.33,2.63,7556730,NA,"Europe","Southern Europe",NA,"west"
"147","Seychelles",1960,73.6,60.42,5.27,41538,48981400,"Africa","Eastern Africa",3.23067110689865,"developing"
"148","Sierra Leone",1960,223.6,36.07,6.03,2181701,488526149,"Africa","Western Africa",0.613479026447461,"developing"
"149","Singapore",1960,35.5,65.02,5.82,1633718,3705795365,"Asia","South-Eastern Asia",6.21457559609347,"developing"
"150","Slovak Republic",1960,33,70.42,3.09,4137224,NA,"Europe","Eastern Europe",NA,"developing"
"151","Slovenia",1960,37,68.62,2.32,1586632,NA,"Europe","Southern Europe",NA,"west"
"152","Solomon Islands",1960,131.8,50.55,6.39,117869,NA,"Oceania","Melanesia",NA,"developing"
"153","South Africa",1960,NA,49.01,6.17,17396367,38336071006,"Africa","Southern Africa",6.03748653516494,"developing"
"154","Spain",1960,47.7,69.23,2.77,30450994,113021529146,"Europe","Southern Europe",10.1687329174717,"west"
"155","Sri Lanka",1960,72.7,59.76,5.54,9896172,2708601390,"Asia","Southern Asia",0.749868305242411,"developing"
"156","Sudan",1960,107.4,49.54,6.69,7527450,3292300613,"Africa","Northern Africa",1.19828118146943,"developing"
"157","Suriname",1960,NA,60.58,6.61,289972,NA,"Americas","South America",NA,"developing"
"158","Swaziland",1960,141.7,44.78,6.72,349233,NA,"Africa","Southern Africa",NA,"developing"
"159","Sweden",1960,16.3,73.01,2.2,7479602,85028727553,"Europe","Northern Europe",31.1454296570091,"west"
"160","Switzerland",1960,21.6,71.46,2.52,5296120,NA,"Europe","Western Europe",NA,"west"
"161","Syria",1960,121.8,52.87,7.47,4592777,2203477369,"Asia","Western Asia",1.3144388021953,"developing"
"162","Tajikistan",1960,NA,57.1,6.24,2064035,NA,"Asia","Central Asia",NA,"developing"
"163","Tanzania",1960,144.3,45.57,6.81,10074490,NA,"Africa","Eastern Africa",NA,"developing"
"164","Thailand",1960,102.2,55.46,6.15,27397178,8764726641,"Asia","South-Eastern Asia",0.876475296155314,"developing"
"165","Timor-Leste",1960,NA,37.74,6.37,499525,NA,"Asia","South-Eastern Asia",NA,"developing"
"166","Togo",1960,162.4,41.06,6.52,1580513,278575742,"Africa","Western Africa",0.482894611407122,"developing"
"167","Tonga",1960,NA,61.2,7.36,61600,NA,"Oceania","Polynesia",NA,"developing"
"168","Trinidad and Tobago",1960,56.6,63.07,5.26,848481,2811586619,"Americas","Caribbean",9.07854983005649,"developing"
"169","Tunisia",1960,173.4,43.2,7.04,4176266,NA,"Africa","Northern Africa",NA,"developing"
"170","Turkey",1960,166,46.91,6.3,27553280,44566050533,"Asia","Western Asia",4.43136964396114,"developing"
"171","Turkmenistan",1960,NA,54.91,6.42,1593501,NA,"Asia","Central Asia",NA,"developing"
"172","Uganda",1960,132.3,45.27,7,6788211,NA,"Africa","Eastern Africa",NA,"developing"
"173","Ukraine",1960,NA,70.88,2.42,42662150,NA,"Europe","Eastern Europe",NA,"developing"
"174","United Arab Emirates",1960,137.3,51.85,6.93,92612,NA,"Asia","Western Asia",NA,"developing"
"175","United Kingdom",1960,22.9,71.02,2.69,52410496,525328308407,"Europe","Northern Europe",27.4612100498197,"west"
"176","United States",1960,25.9,69.91,3.67,186176524,2479391093100,"Americas","Northern America",36.4860840879327,"west"
"177","Uruguay",1960,57.7,67.95,2.88,2538651,10614613898,"Americas","South America",11.4553493044626,"developing"
"178","Uzbekistan",1960,NA,59.35,6.71,8789492,NA,"Asia","Central Asia",NA,"developing"
"179","Vanuatu",1960,106.7,45.97,7.2,63701,NA,"Oceania","Melanesia",NA,"developing"
"180","Venezuela",1960,59.9,60.08,6.62,8146845,41118729573,"Americas","South America",13.8279362900187,"developing"
"181","West Bank and Gaza",1960,NA,50.82,7.69,1069399,NA,"Asia","Western Asia",NA,"developing"
"182","Vietnam",1960,75.6,58.52,6.35,32670623,NA,"Asia","South-Eastern Asia",NA,"developing"
"183","Yemen",1960,225,32.64,7.29,5166311,NA,"Asia","Western Asia",NA,"developing"
"184","Zambia",1960,123.2,48.34,7.02,3049586,1666817402,"Africa","Eastern Africa",1.49745671024791,"developing"
"185","Zimbabwe",1960,92.6,53.11,7.16,3752390,1459732283,"Africa","Eastern Africa",1.06579180969119,"developing"
"186","Albania",1961,110.8,63.92,6.08,1685901,NA,"Europe","Southern Europe",NA,"west"
"187","Algeria",1961,148.1,48.02,7.65,11404859,11946771141,"Africa","Northern Africa",2.8699065756408,"developing"
"188","Angola",1961,NA,36.53,7.35,5367287,NA,"Africa","Middle Africa",NA,"developing"
"189","Antigua and Barbuda",1961,NA,63.46,4.39,55403,NA,"Americas","Caribbean",NA,"developing"
"190","Argentina",1961,59.73,65.53,3.1,20953079,114201892335,"Americas","South America",14.9325021305088,"developing"
"191","Armenia",1961,NA,67.33,4.51,1934239,NA,"Asia","Western Asia",NA,"developing"
"192","Aruba",1961,NA,66.07,4.66,55435,NA,"Americas","Caribbean",NA,"developing"
"193","Australia",1961,20,71.14,3.55,10494911,98950410413,"Oceania","Australia and New Zealand",25.8312828789246,"west"
"194","Austria",1961,35,69.72,2.79,7105654,55294196572,"Europe","Western Europe",21.3197757042953,"west"
"195","Azerbaijan",1961,NA,61.76,5.6,4030130,NA,"Asia","Western Asia",NA,"developing"
"196","Bahamas",1961,NA,62.29,4.5,115108,1445610547,"Americas","Caribbean",34.4074855014064,"developing"
"197","Bahrain",1961,123.8,52.99,7.13,167924,NA,"Asia","Western Asia",NA,"developing"
"198","Bangladesh",1961,171.7,46.73,6.76,49593610,13540691011,"Asia","Southern Asia",0.748035555221344,"developing"
"199","Barbados",1961,65,62.31,4.31,231674,844470434.1,"Americas","Caribbean",9.98652256045665,"developing"
"200","Belarus",1961,NA,72.3,2.73,8274486,NA,"Europe","Eastern Europe",NA,"developing"
"201","Belgium",1961,28.1,70.46,2.63,9200393,71634993490,"Europe","Western Europe",21.3317253009721,"west"
"202","Belize",1961,NA,60.64,6.48,94701,90765704,"Americas","Central America",2.62587682964103,"developing"
"203","Benin",1961,183.9,38.8,6.34,2466002,641329522.6,"Africa","Western Africa",0.712516528861485,"developing"
"204","Bhutan",1961,NA,36.49,6.67,229297,NA,"Asia","Southern Asia",NA,"developing"
"205","Bolivia",1961,170.5,44.14,6.67,3764815,3064252968,"Americas","South America",2.22991398274787,"developing"
"206","Bosnia and Herzegovina",1961,NA,63.34,3.95,3277096,NA,"Europe","Southern Europe",NA,"west"
"207","Botswana",1961,112.2,50.7,6.63,536576,132351054.3,"Africa","Southern Africa",0.675776829785861,"developing"
"208","Brazil",1961,126.1,55.78,6.19,74706888,116168372089,"Americas","South America",4.26024321308368,"developing"
"209","Brunei",1961,NA,63.11,6.49,85687,NA,"Asia","South-Eastern Asia",NA,"developing"
"210","Bulgaria",1961,NA,70.26,2.23,7935058,NA,"Europe","Eastern Europe",NA,"developing"
"211","Burkina Faso",1961,159.4,35.72,6.32,4894578,620738750.3,"Africa","Western Africa",0.347456738948886,"developing"
"212","Burundi",1961,144.8,40.85,7,2840375,294235019,"Africa","Eastern Africa",0.283808771632629,"developing"
"213","Cambodia",1961,NA,42.47,6.96,5872247,NA,"Asia","South-Eastern Asia",NA,"developing"
"214","Cameroon",1961,163.3,44,5.71,5474509,2785779139,"Africa","Middle Africa",1.39414724018147,"developing"
"215","Canada",1961,27,71.22,3.85,18295922,173205864895,"Americas","Northern America",25.9367424145493,"west"
"216","Cape Verde",1961,NA,50.27,6.92,205958,NA,"Africa","Western Africa",NA,"developing"
"217","Central African Republic",1961,162.9,37.89,5.87,1529229,561479896.3,"Africa","Middle Africa",1.00593245730589,"developing"
"218","Chad",1961,NA,41.35,6.27,3061423,760658940.9,"Africa","Middle Africa",0.680728242505581,"developing"
"219","Chile",1961,121.1,57.23,5.54,7873504,14657690860,"Americas","South America",5.10040474364208,"developing"
"220","China",1961,161,32.95,3.28,654625069,51282752582,"Asia","Eastern Asia",0.214627729152058,"developing"
"221","Colombia",1961,87.6,58.63,6.8,16982313,20019008355,"Americas","South America",3.22963062998996,"developing"
"222","Comoros",1961,NA,44.47,6.85,191828,NA,"Africa","Eastern Africa",NA,"developing"
"223","Congo, Dem. Rep.",1961,NA,44.25,6.02,15637715,4451156989,"Africa","Middle Africa",0.779842237487671,"developing"
"224","Congo, Rep.",1961,108.4,48.88,5.92,1039966,678538007.8,"Africa","Middle Africa",1.78756636327336,"developing"
"225","Costa Rica",1961,83.56,62.56,7.3,1381920,2375566267,"Americas","Central America",4.70967981613035,"developing"
"226","Cote d'Ivoire",1961,203,38.74,7.43,3602075,2202622974,"Africa","Western Africa",1.67530756311597,"developing"
"227","Croatia",1961,NA,65.26,2.3,4222502,NA,"Europe","Southern Europe",NA,"west"
"228","Cuba",1961,NA,64.47,4.36,7289828,NA,"Americas","Caribbean",NA,"developing"
"229","Cyprus",1961,NA,70.06,3.47,576395,NA,"Asia","Western Asia",NA,"developing"
"230","Czech Republic",1961,NA,70.77,2.27,9626727,NA,"Europe","Eastern Europe",NA,"developing"
"231","Denmark",1961,20.8,72.55,2.55,4613769,55492247059,"Europe","Northern Europe",32.9521381729994,"west"
"232","Djibouti",1961,NA,46.28,6.49,88499,NA,"Africa","Eastern Africa",NA,"developing"
"233","Dominican Republic",1961,101,54.17,7.49,3406299,2949463771,"Americas","Caribbean",2.37228812276138,"developing"
"234","Ecuador",1961,118.2,54.77,6.67,4676858,3697721716,"Americas","South America",2.16614325844344,"developing"
"235","Egypt",1961,202.7,48.89,6.61,27810001,12536920098,"Africa","Northern Africa",1.23508540312136,"developing"
"236","El Salvador",1961,123.9,52.77,6.75,2843246,4159510750,"Americas","Central America",4.00806678810546,"developing"
"237","Equatorial Guinea",1961,NA,38.04,5.52,255100,NA,"Africa","Middle Africa",NA,"developing"
"238","Eritrea",1961,NA,39.35,6.87,1441297,NA,"Africa","Eastern Africa",NA,"developing"
"239","Estonia",1961,NA,69.74,1.95,1230521,NA,"Europe","Northern Europe",NA,"west"
"240","Ethiopia",1961,NA,38.35,6.88,22671131,NA,"Africa","Eastern Africa",NA,"developing"
"241","Fiji",1961,52.1,56.12,6.28,407152,452454345,"Oceania","Melanesia",3.04456553131381,"developing"
"242","Finland",1961,20.6,69.07,2.65,4463432,34824194518,"Europe","Northern Europe",21.3756481792732,"west"
"243","France",1961,22.4,71.07,2.8,46471083,369037927246,"Europe","Western Europe",21.756816262978,"west"
"244","French Polynesia",1961,NA,56.71,5.58,80706,NA,"Oceania","Polynesia",NA,"developing"
"245","Gabon",1961,NA,39.15,4.46,504174,1018309175,"Africa","Middle Africa",5.53358195917467,"developing"
"246","Gambia",1961,146.1,36.16,5.62,376736,NA,"Africa","Western Africa",NA,"developing"
"247","Georgia",1961,NA,63.9,2.97,4225733,NA,"Asia","Western Asia",NA,"developing"
"248","Germany",1961,NA,69.85,2.44,73686490,NA,"Europe","Western Europe",NA,"west"
"249","Ghana",1961,123.8,46.8,6.79,6866545,1965121691,"Africa","Western Africa",0.784076277638261,"developing"
"250","Greece",1961,47.3,68.8,2.22,8366020,31353494474,"Europe","Southern Europe",10.2677240623706,"west"
"251","Greenland",1961,NA,61.85,7.31,32474,NA,"Americas","Northern America",NA,"west"
"252","Grenada",1961,NA,61.05,6.63,91260,NA,"Americas","Caribbean",NA,"developing"
"253","Guatemala",1961,143.3,47.12,6.51,4240084,4160561630,"Americas","Central America",2.68834272771515,"developing"
"254","Guinea",1961,210.5,35.95,6.11,3633778,NA,"Africa","Western Africa",NA,"developing"
"255","Guinea-Bissau",1961,NA,43.39,5.77,623413,NA,"Africa","Western Africa",NA,"developing"
"256","Guyana",1961,65.1,59.24,5.58,582034,403982434.6,"Americas","South America",1.90160916833885,"developing"
"257","Haiti",1961,191.5,42.68,6.32,3943363,NA,"Americas","Caribbean",NA,"developing"
"258","Honduras",1961,136.6,48.47,7.45,2069085,1529911259,"Americas","Central America",2.02579289680724,"developing"
"259","Hong Kong, China",1961,NA,68.01,5.21,3227426,10490975371,"Asia","Eastern Asia",8.90567228395394,"developing"
"260","Hungary",1961,51,69.06,1.97,10031496,NA,"Europe","Eastern Europe",NA,"developing"
"261","Iceland",1961,17.2,73.6,4.07,179106,1773534306,"Europe","Northern Europe",27.1291754526936,"west"
"262","India",1961,162.5,41.99,5.86,458691457,84059664307,"Asia","Southern Asia",0.502081402741635,"developing"
"263","Indonesia",1961,144.8,45.83,5.66,90138235,19575208346,"Asia","South-Eastern Asia",0.594982892634411,"developing"
